Date,Description,Type,Amount,Current balance,Status
2026-04-30,Interest earned,INTEREST_EARNED,0.13,470,Posted
2026-04-30,From Savings - 3045,DEPOSIT,78.46,469.87,Posted
2026-04-30,DILLONS #9068,DEBIT_CARD,-9.55,391.41,Posted
2026-04-30,CINEMARK 259 ONLINE,DEBIT_CARD,27.09,400.96,Posted
2026-04-30,From Savings - 3045,DEPOSIT,250.00,373.87,Posted
2026-04-29,FAMILY MART,DEBIT_CARD,-5.65,123.87,Posted
2026-04-29,Dave Inc,DEBIT_CARD,-239.63,129.52,Posted
2026-04-29,SONIC DRIVE IN #2406,DEBIT_CARD,-16.19,369.15,Posted
2026-04-29,CINEMARK 259 ONLINE,DEBIT_CARD,-33.30,385.34,Posted
2026-04-29,PAYPAL,DIRECT_PAY,-5.46,418.64,Posted
2026-04-28,AFFIRM.COM PAYME,DIRECT_PAY,-22.15,424.1,Posted
2026-04-28,AFFIRM.COM PAYME,DIRECT_PAY,-23.84,446.25,Posted
2026-04-27,From Savings - 3045,DEPOSIT,199.00,470.09,Posted
2026-04-27,AFFIRM.COM PAYME,DIRECT_PAY,-49.12,271.09,Posted
2026-04-27,INCHARGE DEBT SO,DIRECT_PAY,-370,320.21,Posted
2026-04-26,LITTLE CAESARS 3647-00,DEBIT_CARD,-10.20,690.21,Posted
2026-04-26,TACO BELL 740118,DEBIT_CARD,-6.31,700.41,Posted
2026-04-25,From Savings - 3045,DEPOSIT,100.00,706.72,Posted
2026-04-24,QT 268 INSIDE,DEBIT_CARD,-5.66,606.72,Posted
2026-04-24,TACO BELL 024466,DEBIT_CARD,-1.16,612.38,Posted
2026-04-23,From Savings - 3045,DEPOSIT,354.70,613.54,Posted
2026-04-23,DILLONS #9068 3000 W. 6,DEBIT_CARD,-5.14,258.84,Posted
2026-04-23,APPLE CASH INST XFER,DEBIT_CARD,196.60,263.98,Posted
2026-04-23,FAMILY MART,DEBIT_CARD,-30.20,67.38,Posted
2026-04-23,FAMILY MART,DEBIT_CARD,-5.65,97.58,Posted
2026-04-22,Amazon Digital Svcs,DEBIT_CARD,-5.99,103.23,Posted
2026-04-22,AFFIRM.COM PAYME,DIRECT_PAY,-37.66,109.22,Posted
2026-04-21,AFFIRM.COM PAYME,DIRECT_PAY,-128.58,146.88,Posted
2026-04-21,AFFIRM.COM PAYME,DIRECT_PAY,-60.73,275.46,Posted
2026-04-20,VENMO*BOOTS B,DEBIT_CARD,98.25,336.19,Posted
2026-04-20,Dave Inc,DEBIT_CARD,225.00,237.94,Posted
2026-04-19,From Savings - 3045,DEPOSIT,10.00,12.94,Posted
2026-04-18,DILLONS #9068 3000 W. 6,DEBIT_CARD,-5.14,2.94,Posted
2026-04-18,From Savings - 3045,DEPOSIT,8.00,8.08,Posted
2026-04-18,Dave Inc,DEBIT_CARD,-320.75,0.08,Posted
2026-04-18,Hotbox Smoke Shop,DEBIT_CARD,-25.13,320.83,Posted
2026-04-16,FAMILY MART,DEBIT_CARD,-20.00,345.96,Posted
2026-04-16,From Savings - 3045,DEPOSIT,12.00,365.96,Posted
2026-04-16,DILLONS #9068 3000 W. 6,DEBIT_CARD,-5.14,353.96,Posted
2026-04-16,From Savings - 3045,DEPOSIT,300.00,359.1,Posted
2026-04-16,KWIK SHOP 0702 1846 MA,DEBIT_CARD,-5.66,59.1,Posted
2026-04-16,From Savings - 3045,DEPOSIT,61.13,64.76,Posted
2026-04-16,SONIC DRIVE IN #2406,DEBIT_CARD,-11.78,3.63,Posted
2026-04-16,VENMO *Jodie Boots,DEBIT_CARD,-350.00,15.41,Posted
2026-04-15,Dave Inc,DEBIT_CARD,-239.63,365.41,Posted
2026-04-14,Dave Inc,DEBIT_CARD,75.00,605.04,Posted
2026-04-14,Dave Inc,DEBIT_CARD,225.00,530.04,Posted
2026-04-14,ONEMAIN ACH PAY,DIRECT_PAY,-515.6,305.04,Posted
2026-04-13,PAI ATM,ATM,-63.50,820.64,Posted
2026-04-13,LOVE'S #0173 INSIDE,DEBIT_CARD,-20.14,884.14,Posted
2026-04-13,From Savings - 3045,DEPOSIT,199.00,904.28,Posted
2026-04-13,AMAZON PRIME PMTS,DEBIT_CARD,-7.49,705.28,Posted
2026-04-12,DILLONS #9068 3000 W. 6,DEBIT_CARD,-5.14,712.77,Posted
2026-04-12,PayActiv,DEBIT_CARD,194.00,717.91,Posted
2026-04-12,UBER   *TRIP,DEBIT_CARD,-24.94,523.91,Posted
2026-04-12,SONIC DRIVE IN #2406,DEBIT_CARD,-6.00,548.85,Posted
2026-04-12,From Savings - 3045,DEPOSIT,500.00,554.85,Posted
2026-04-11,Heartland Medical Clin,DEBIT_CARD,-7.00,54.85,Posted
2026-04-10,River City Pharmacy,DEBIT_CARD,-5.89,61.85,Posted
2026-04-10,From Savings - 3045,DEPOSIT,27.45,67.74,Posted
2026-04-10,TACO BELL 724466,DEBIT_CARD,-3.16,40.29,Posted
2026-04-10,KING PHARMACY,DEBIT_CARD,-68.00,43.45,Posted
2026-04-10,Heartland Medical Clin,DEBIT_CARD,-60.00,111.45,Posted
2026-04-09,WALGREENS STORE 3421 W,DEBIT_CARD,-26.77,171.45,Posted
2026-04-09,SHOPIFY* 512998536,DEBIT_CARD,-1.00,198.22,Posted
2026-04-09,MCDONALD'S F4164,DEBIT_CARD,-5.13,199.22,Posted
2026-04-09,MOLCAJETE'S LAWRENCE,DEBIT_CARD,-54.18,204.35,Posted
2026-04-08,FAMILY MART,DEBIT_CARD,-5.14,258.53,Posted
2026-04-08,BURGER KING #4473  Q07,DEBIT_CARD,-7.98,263.67,Posted
2026-04-08,AFFIRM.COM PAYME,DIRECT_PAY,-24.71,271.65,Posted
2026-04-07,Dave Inc,DEBIT_CARD,225.00,296.36,Posted
2026-04-07,KWIK SHOP 0784 1420 KA,DEBIT_CARD,-10.80,71.36,Posted
2026-04-07,Dave,DIRECT_PAY,-1,82.16,Posted
2026-04-06,From Savings - 3045,DEPOSIT,31.29,83.16,Posted
2026-04-06,FAMILY MART,DEBIT_CARD,-9.24,51.87,Posted
2026-04-06,TACO BELL 724466,DEBIT_CARD,-8.00,61.11,Posted
2026-04-05,NETFLIX.COM NETFLIX.COM,DEBIT_CARD,-7.99,69.11,Posted
2026-04-04,Zelle® Payment to Wale Orekoya,ZELLE,-7.00,77.1,Posted
2026-04-04,Subway 14132,DEBIT_CARD,-28.52,84.1,Posted
2026-04-04,Dave Inc,DEBIT_CARD,-239.63,112.62,Posted
2026-04-03,Google YouTubePremium,DEBIT_CARD,-15.32,352.25,Posted
2026-04-03,FAMILY MART,DEBIT_CARD,-39.71,367.57,Posted
2026-04-03,FAMILY MART,DEBIT_CARD,-27.50,407.28,Posted
2026-04-03,PayActiv,DEBIT_CARD,97.00,434.78,Posted
2026-04-02,MSBILL.INFO,DEBIT_CARD,-2.99,337.78,Posted
2026-04-02,From Savings - 3045,DEPOSIT,300.00,340.77,Posted
2026-04-02,FAMILY MART,DEBIT_CARD,-5.65,40.77,Posted
2026-04-01,Meineke Car Care #1381,DEBIT_CARD,-82.83,46.42,Posted
2026-04-01,TST*LONGBOARDS WRAPS &,DEBIT_CARD,-14.67,129.25,Posted
2026-04-01,DAIRY QUEEN #13342,DEBIT_CARD,-7.86,143.92,Posted
2026-04-01,SHOPIFY INC.,DIRECT_PAY,-1,151.78,Posted
