Date,Description,Type,Amount,Current balance,Status
2026-04-30,Interest earned,INTEREST_EARNED,0.66,430.66,Posted
2026-04-30,To Checking - 7148,WITHDRAWAL,-78.46,430,Posted
2026-04-30,To Checking - 7148,WITHDRAWAL,-250.00,508.46,Posted
2026-04-29,GOODLIFE INNOVAT,DIRECT_DEPOSIT,757.46,758.46,Posted
2026-04-27,To Checking - 7148,WITHDRAWAL,-199.00,1,Posted
2026-04-25,To Checking - 7148,WITHDRAWAL,-100.00,200,Posted
2026-04-23,To Checking - 7148,WITHDRAWAL,-354.70,300,Posted
2026-04-22,GOODLIFE INNOVAT,DIRECT_DEPOSIT,584.7,654.7,Posted
2026-04-19,To Checking - 7148,WITHDRAWAL,-10.00,70,Posted
2026-04-18,To Checking - 7148,WITHDRAWAL,-8.00,80,Posted
2026-04-16,To Checking - 7148,WITHDRAWAL,-12.00,88,Posted
2026-04-16,To Checking - 7148,WITHDRAWAL,-300.00,100,Posted
2026-04-16,To Checking - 7148,WITHDRAWAL,-61.13,400,Posted
2026-04-15,GOODLIFE INNOVAT,DIRECT_DEPOSIT,460.13,461.13,Posted
2026-04-13,To Checking - 7148,WITHDRAWAL,-199.00,1,Posted
2026-04-12,To Checking - 7148,WITHDRAWAL,-500.00,200,Posted
2026-04-10,To Checking - 7148,WITHDRAWAL,-27.45,700,Posted
2026-04-08,GOODLIFE INNOVAT,DIRECT_DEPOSIT,721.06,727.45,Posted
2026-04-06,To Checking - 7148,WITHDRAWAL,-31.29,6.39,Posted
2026-04-03,GOOD LIFE INNOVA,DEPOSIT,19.66,37.68,Posted
2026-04-02,To Checking - 7148,WITHDRAWAL,-300.00,18.02,Posted
2026-04-02,ATT,DIRECT_PAY,-66.72,318.02,Posted
2026-04-02,ATT,DIRECT_PAY,-91.26,384.74,Posted
2026-04-01,GOODLIFE INNOVAT,DIRECT_DEPOSIT,314.85,476,Posted
2026-04-01,ALLSTATE INS CO,DIRECT_PAY,-110.87,161.15,Posted
